"","state_id","date","policy_type","start_stop","comments","source"
"68","WA",2020-03-16,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"69","MO",2020-03-23,"Food and Drink","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"70","ND",2020-03-20,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"72","GU",2020-03-20,"Shelter in Place","start","State Policy Start","manual"
"73","MA",2020-03-26,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"74","MT",2020-03-30,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"79","WI",2020-03-25,"Shelter in Place","start","Stay at home, effective March 25 at 8 a.m. Gov. Tony Evers initially thought he would not have to issue such an order, but later changed his mind. “You can still get out and walk the dogs — it’s good exercise and it’s good for everyone’s mental health — but please don’t take any other unnecessary trips,"" he said. ""Limit your travel to essential needs like going to the doctor, grabbing groceries or getting medication.”","manual"
"80","MA",2020-03-16,"Nursing Homes","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"82","NE",2020-04-03,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"83","RI",2020-03-18,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"84","KY",2020-03-23,"Day Care","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"91","MS",2020-08-05,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"92","CO",2020-03-17,"Gyms","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"94","OK",2020-04-01,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"96","MA",2020-03-24,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"97","AR",2020-04-10,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"100","NM",2020-03-20,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate","BU COVID-19 State Policy Database"
"101","OH",2020-05-01,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"102","AK",2020-03-20,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"106","ID",2020-03-25,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"107","NY",2020-03-07,"State of Emergency","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"113","DE",2020-03-16,"Childcare (K-12)","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"114","MD",2020-03-16,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"115","KS",2020-07-03,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"117","MS",2020-03-14,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"118","MD",2020-03-26,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"121","TX",2020-03-19,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"123","CO",2020-03-20,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"126","UT",2020-04-10,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"128","NV",2020-03-17,"Reopened ACA Enrollment Using a Special Enrollment Period","start","Other measures and details for this policy include: keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"130","VT",2020-03-18,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"131","NM",2020-03-13,"Nursing Homes","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate","BU COVID-19 State Policy Database"
"133","GA",2020-03-18,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"134","CO",2020-03-26,"Shelter in Place","start","Stay at home, effective March 26 at 6 a.m. A number of counties and cities in the state, including Denver and Boulder, had issued their own stay-at-home orders, but Gov. Jared Polis also issued a statewide order, reiterating the need for everyone to stay at home. “We owe it to ourselves and our fellow Americans in order to save lives,” he said.","manual"
"137","WI",2020-08-01,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"140","ME",2020-04-02,"Shelter in Place","start","State Policy Start","wikidata"
"143","HI",2020-03-26,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"145","MN",2020-03-27,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"146","KY",2020-05-11,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"148","MO",2020-03-26,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"149","UT",2020-03-27,"Shelter in Place","start","Summit County. Stay at home, effective March 27 at 12:01 a.m.","manual"
"152","GA",2020-04-03,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"153","FL",2020-05-08,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"154","AZ",2020-03-23,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"155","VA",2020-05-29,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"158","ID",2020-03-25,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"161","KY",2020-04-01,"Stop Initiation Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"162","GA",2020-03-18,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"165","AL",2020-03-13,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"171","LA",2020-04-27,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"173","MN",2020-03-24,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"175","NH",2020-03-17,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"176","VA",2020-03-25,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"179","NY",2020-03-20,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"186","IL",2020-03-17,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"188","CT",2020-03-12,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"189","MA",2020-03-12,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"191","MS",2020-03-20,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"196","LA",2020-03-23,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"200","TX",2020-03-19,"Stop Initiation Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"202","MI",2020-03-14,"Nursing Homes","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"203","VA",2020-05-29,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"206","SC",2020-04-01,"Non-Essential Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"207","MD",2020-03-16,"Stop Initiation Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"209","LA",2020-03-23,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"210","TX",2020-03-21,"Gyms","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"211","MO",2020-04-03,"Non-Essential Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"212","NC",2020-03-17,"Food and Drink","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"214","AL",2020-03-19,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"215","NY",2020-03-01,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"218","AL",2020-03-28,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"219","NV",2020-06-26,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"222","OH",2020-03-18,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"223","OH",2020-04-22,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"224","WY",2020-05-20,"Renter Grace Period Or Use Of Security Deposit To Pay Rent","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"227","MN",2020-03-17,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"228","IL",2020-03-16,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"230","NV",2020-04-07,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"231","PA",2020-03-16,"Childcare (K-12)","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"232","NM",2020-05-15,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate","BU COVID-19 State Policy Database"
"235","AK",2020-03-18,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"237","MN",2020-03-23,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"247","LA",2020-03-12,"Nursing Homes","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"248","SD",2020-03-13,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"251","NV",2020-03-21,"Food and Drink","start","Other measures and details for this policy include: keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"253","NJ",2020-03-27,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"257","TN",2020-03-24,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"258","FL",2020-03-15,"Nursing Homes","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"262","WA",2020-03-25,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"263","NH",2020-03-17,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"270","AK",2020-04-20,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"276","DE",2020-05-01,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"280","OK",2020-03-15,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"282","NH",2020-03-16,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"283","MT",2020-03-20,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"284","MS",2020-03-24,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"288","ME",2020-04-02,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"292","CA",2020-03-19,"Shelter in Place","start","State Policy Start","wikidata"
"296","NJ",2020-03-23,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"297","WV",2020-03-16,"State of Emergency","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"298","MI",2020-05-29,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"305","PA",2020-03-19,"Gyms","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"306","MT",2020-03-19,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"315","RI",2020-04-10,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"320","ID",2020-03-16,"Stop Initiation Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"321","VA",2020-03-12,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"325","NJ",2020-03-22,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"327","WV",2020-05-04,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"335","IN",2020-03-19,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"337","ME",2020-03-16,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"339","NM",2020-03-19,"Food and Drink","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate","BU COVID-19 State Policy Database"
"341","MA",2020-03-23,"Day Care","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"342","MS",2020-03-23,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"345","NJ",2020-03-16,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"348","SC",2020-03-17,"Stop Initiation Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"354","DE",2020-03-27,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"358","MI",2020-03-20,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"364","WA",2020-03-25,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"367","NY",2020-03-16,"Entertainment","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"368","MT",2020-03-20,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"372","AK",2020-03-17,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"373","DE",2020-03-19,"Gyms","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"374","AL",2020-04-04,"Shelter in Place","start","State Policy Start","wikidata"
"380","KS",2020-06-22,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"381","MD",2020-04-18,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"385","DE",2020-04-28,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"388","MD",2020-04-18,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"389","OR",2020-03-24,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"390","LA",2020-03-23,"Shelter in Place","start","Louisiana Gov. John Bel Edwards issued a statewide stay at home order at a Sunday afternoon press conference, requiring Louisiana residents to shelter at home unless going out for essential tasks effective until April 12. ","manual"
"391","GA",2020-04-20,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"392","LA",2020-03-11,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"393","DC",2020-03-16,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"396","UT",2020-03-25,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"397","CT",2020-04-03,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"398","HI",2020-03-17,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"400","VT",2020-03-25,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"403","DE",2020-03-13,"State of Emergency","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
